PassengerId,Unnamed,class,age,sex,survived
191,192,1st class,adults,women,yes
103,104,1st class,adults,man,no
1280,1281,3rd class,child,man,no
60,61,1st class,adults,man,no
1034,1035,3rd class,adults,man,no
822,823,3rd class,adults,man,no
1148,1149,3rd class,adults,women,no
713,714,3rd class,adults,man,no
1158,1159,3rd class,adults,women,no
466,467,2nd class,adults,man,no
752,753,3rd class,adults,man,no
569,570,2nd class,adults,women,yes
82,83,1st class,adults,man,no
571,572,2nd class,adults,women,yes
1238,1239,3rd class,child,man,yes
1016,1017,3rd class,adults,man,no
790,791,3rd class,adults,man,no
930,931,3rd class,adults,man,no
252,253,1st class,adults,women,yes
957,958,3rd class,adults,man,no
311,312,1st class,adults,women,yes
1139,1140,3rd class,adults,women,yes
113,114,1st class,adults,man,no
764,765,3rd class,adults,man,no
249,250,1st class,adults,women,yes
977,978,3rd class,adults,man,no
263,264,1st class,adults,women,yes
1070,1071,3rd class,adults,man,no
780,781,3rd class,adults,man,no
271,272,1st class,adults,women,yes
717,718,3rd class,adults,man,no
583,584,2nd class,adults,women,no
122,123,1st class,adults,man,no
549,550,2nd class,adults,women,yes
936,937,3rd class,adults,man,no
934,935,3rd class,adults,man,no
16,17,1st class,adults,man,yes
1109,1110,3rd class,adults,women,yes
613,614,3rd class,adults,man,yes
629,630,3rd class,adults,man,yes
1300,1301,3rd class,child,women,no
589,590,2nd class,child,man,yes
608,609,2nd class,child,women,yes
351,352,2nd class,adults,man,no
1263,1264,3rd class,child,man,no
1163,1164,3rd class,adults,women,no
434,435,2nd class,adults,man,no
443,444,2nd class,adults,man,no
467,468,2nd class,adults,man,no
97,98,1st class,adults,man,no
435,436,2nd class,adults,man,no
1101,1102,3rd class,adults,women,yes
1146,1147,3rd class,adults,women,yes
196,197,1st class,adults,women,yes
775,776,3rd class,adults,man,no
183,184,1st class,adults,women,yes
1277,1278,3rd class,child,man,no
446,447,2nd class,adults,man,no
530,531,2nd class,adults,women,yes
667,668,3rd class,adults,man,yes
1025,1026,3rd class,adults,man,no
726,727,3rd class,adults,man,no
1212,1213,3rd class,adults,women,no
175,176,1st class,adults,women,yes
541,542,2nd class,adults,women,yes
81,82,1st class,adults,man,no
267,268,1st class,adults,women,yes
77,78,1st class,adults,man,no
1135,1136,3rd class,adults,women,yes
915,916,3rd class,adults,man,no
386,387,2nd class,adults,man,no
1140,1141,3rd class,adults,women,yes
901,902,3rd class,adults,man,no
831,832,3rd class,adults,man,no
920,921,3rd class,adults,man,no
615,616,3rd class,adults,man,yes
1086,1087,3rd class,adults,women,yes
1149,1150,3rd class,adults,women,no
88,89,1st class,adults,man,no
1001,1002,3rd class,adults,man,no
592,593,2nd class,child,man,yes
651,652,3rd class,adults,man,yes
1081,1082,3rd class,adults,women,yes
834,835,3rd class,adults,man,no
471,472,2nd class,adults,man,no
117,118,1st class,adults,man,no
500,501,2nd class,adults,women,yes
294,295,1st class,adults,women,yes
261,262,1st class,adults,women,yes
1189,1190,3rd class,adults,women,no
505,506,2nd class,adults,women,yes
2,3,1st class,adults,man,yes
405,406,2nd class,adults,man,no
979,980,3rd class,adults,man,no
338,339,2nd class,adults,man,yes
356,357,2nd class,adults,man,no
1168,1169,3rd class,adults,women,no
182,183,1st class,adults,women,yes
438,439,2nd class,adults,man,no
711,712,3rd class,adults,man,no
661,662,3rd class,adults,man,yes
911,912,3rd class,adults,man,no
1017,1018,3rd class,adults,man,no
784,785,3rd class,adults,man,no
801,802,3rd class,adults,man,no
1194,1195,3rd class,adults,women,no
395,396,2nd class,adults,man,no
1170,1171,3rd class,adults,women,no
278,279,1st class,adults,women,yes
239,240,1st class,adults,women,yes
1123,1124,3rd class,adults,women,yes
808,809,3rd class,adults,man,no
110,111,1st class,adults,man,no
1072,1073,3rd class,adults,women,yes
1222,1223,3rd class,adults,women,no
1260,1261,3rd class,child,man,no
1120,1121,3rd class,adults,women,yes
772,773,3rd class,adults,man,no
1027,1028,3rd class,adults,man,no
943,944,3rd class,adults,man,no
975,976,3rd class,adults,man,no
619,620,3rd class,adults,man,yes
892,893,3rd class,adults,man,no
758,759,3rd class,adults,man,no
367,368,2nd class,adults,man,no
1286,1287,3rd class,child,women,yes
1302,1303,3rd class,child,women,no
384,385,2nd class,adults,man,no
200,201,1st class,adults,women,yes
279,280,1st class,adults,women,yes
65,66,1st class,adults,man,no
818,819,3rd class,adults,man,no
1227,1228,3rd class,adults,women,no
898,899,3rd class,adults,man,no
272,273,1st class,adults,women,yes
1256,1257,3rd class,child,man,no
686,687,3rd class,adults,man,no
165,166,1st class,adults,man,no
1054,1055,3rd class,adults,man,no
1310,1311,3rd class,child,women,no
880,881,3rd class,adults,man,no
955,956,3rd class,adults,man,no
1005,1006,3rd class,adults,man,no
1180,1181,3rd class,adults,women,no
654,655,3rd class,adults,man,yes
503,504,2nd class,adults,women,yes
188,189,1st class,adults,women,yes
40,41,1st class,adults,man,yes
961,962,3rd class,adults,man,no
829,830,3rd class,adults,man,no
729,730,3rd class,adults,man,no
724,725,3rd class,adults,man,no
316,317,1st class,adults,women,no
214,215,1st class,adults,women,yes
1312,1313,3rd class,child,women,no
1209,1210,3rd class,adults,women,no
990,991,3rd class,adults,man,no
362,363,2nd class,adults,man,no
938,939,3rd class,adults,man,no
260,261,1st class,adults,women,yes
19,20,1st class,adults,man,yes
255,256,1st class,adults,women,yes
30,31,1st class,adults,man,yes
548,549,2nd class,adults,women,yes
942,943,3rd class,adults,man,no
230,231,1st class,adults,women,yes
464,465,2nd class,adults,man,no
546,547,2nd class,adults,women,yes
678,679,3rd class,adults,man,yes
253,254,1st class,adults,women,yes
805,806,3rd class,adults,man,no
737,738,3rd class,adults,man,no
1248,1249,3rd class,child,man,yes
708,709,3rd class,adults,man,no
980,981,3rd class,adults,man,no
557,558,2nd class,adults,women,yes
264,265,1st class,adults,women,yes
363,364,2nd class,adults,man,no
1187,1188,3rd class,adults,women,no
101,102,1st class,adults,man,no
989,990,3rd class,adults,man,no
1239,1240,3rd class,child,man,yes
1056,1057,3rd class,adults,man,no
761,762,3rd class,adults,man,no
652,653,3rd class,adults,man,yes
753,754,3rd class,adults,man,no
1048,1049,3rd class,adults,man,no
495,496,2nd class,adults,women,yes
759,760,3rd class,adults,man,no
1021,1022,3rd class,adults,man,no
1113,1114,3rd class,adults,women,yes
950,951,3rd class,adults,man,no
366,367,2nd class,adults,man,no
531,532,2nd class,adults,women,yes
907,908,3rd class,adults,man,no
1062,1063,3rd class,adults,man,no
206,207,1st class,adults,women,yes
79,80,1st class,adults,man,no
190,191,1st class,adults,women,yes
492,493,2nd class,adults,man,no
581,582,2nd class,adults,women,no
145,146,1st class,adults,man,no
318,319,1st class,adults,women,no
658,659,3rd class,adults,man,yes
457,458,2nd class,adults,man,no
144,145,1st class,adults,man,no
869,870,3rd class,adults,man,no
1178,1179,3rd class,adults,women,no
1291,1292,3rd class,child,women,yes
638,639,3rd class,adults,man,yes
1012,1013,3rd class,adults,man,no
83,84,1st class,adults,man,no
154,155,1st class,adults,man,no
1188,1189,3rd class,adults,women,no
1031,1032,3rd class,adults,man,no
792,793,3rd class,adults,man,no
127,128,1st class,adults,man,no
1237,1238,3rd class,child,man,yes
403,404,2nd class,adults,man,no
150,151,1st class,adults,man,no
1046,1047,3rd class,adults,man,no
413,414,2nd class,adults,man,no
716,717,3rd class,adults,man,no
796,797,3rd class,adults,man,no
1003,1004,3rd class,adults,man,no
1275,1276,3rd class,child,man,no
662,663,3rd class,adults,man,yes
1203,1204,3rd class,adults,women,no
352,353,2nd class,adults,man,no
95,96,1st class,adults,man,no
37,38,1st class,adults,man,yes
485,486,2nd class,adults,man,no
143,144,1st class,adults,man,no
580,581,2nd class,adults,women,no
158,159,1st class,adults,man,no
552,553,2nd class,adults,women,yes
656,657,3rd class,adults,man,yes
793,794,3rd class,adults,man,no
1195,1196,3rd class,adults,women,no
597,598,2nd class,child,women,yes
236,237,1st class,adults,women,yes
222,223,1st class,adults,women,yes
1153,1154,3rd class,adults,women,no
820,821,3rd class,adults,man,no
757,758,3rd class,adults,man,no
740,741,3rd class,adults,man,no
746,747,3rd class,adults,man,no
62,63,1st class,adults,man,no
193,194,1st class,adults,women,yes
235,236,1st class,adults,women,yes
181,182,1st class,adults,women,yes
841,842,3rd class,adults,man,no
521,522,2nd class,adults,women,yes
665,666,3rd class,adults,man,yes
1298,1299,3rd class,child,women,yes
587,588,2nd class,child,man,yes
382,383,2nd class,adults,man,no
1112,1113,3rd class,adults,women,yes
1218,1219,3rd class,adults,women,no
331,332,2nd class,adults,man,yes
262,263,1st class,adults,women,yes
6,7,1st class,adults,man,yes
266,267,1st class,adults,women,yes
38,39,1st class,adults,man,yes
1276,1277,3rd class,child,man,no
545,546,2nd class,adults,women,yes
118,119,1st class,adults,man,no
625,626,3rd class,adults,man,yes
105,106,1st class,adults,man,no
814,815,3rd class,adults,man,no
484,485,2nd class,adults,man,no
988,989,3rd class,adults,man,no
20,21,1st class,adults,man,yes
